owner_or_slug,project_slug,commit_version,not_one_shot_records_counting_duplicates,source_dirs,trajectory_classifications
CVHub520/X-AnyLabeling,cvhub520-x-anylabeling,7c62ffb,3,installamatic-runs;installamatic-runs-rerun-failures-2;installamatic-runs-rerun-failures-3,failed_in_project_run:3
SciPhi-AI/R2R,sciphi-ai-r2r,712defb,3,installamatic-runs;installamatic-runs-rerun-failures-2;installamatic-runs-rerun-failures-3,failed_in_project_run:3
TA-Lib/ta-lib-python,ta-lib-ta-lib-python,0c957ed45e6371925cf0e4f44cc06833306c659c,3,setupbench-runs-all-gpt-4.1;setupbench-runs-all-gpt-4.1-2rerun;setupbench-runs-all-gpt-5.4-multiblock,failed_after_project_retries:1;failed_in_project_run:1;succeeded_after_project_retry:1
VainF/Torch-Pruning,vainf-torch-pruning,88e7472,3,installamatic-runs;installamatic-runs-rerun-failures-2;installamatic-runs-rerun-failures-3,failed_in_project_run:2;succeeded_after_internal_repair:1
aarora4/whisper,aarora4-whisper,24bed798a8d7162ac08cc806176cecc46b3cb05a,3,setupbench-runs-all-gpt-4.1;setupbench-runs-all-gpt-4.1-2rerun;setupbench-runs-all-gpt-5.4-multiblock,failed_after_project_retries:1;failed_in_project_run:1;missing_manifest_incomplete:1
apache/cassandra,apache-cassandra,73cd2c56ca07fc4bd1c77a7a45e1d6e27941fefa,3,setupbench-runs-all-gpt-4.1;setupbench-runs-all-gpt-4.1-2rerun;setupbench-runs-all-gpt-5.4-multiblock,failed_after_project_retries:1;failed_in_project_run:1;succeeded_after_internal_repair:1
habitat-sh/habitat,habitat-sh-habitat,5826ff8e54da8985c2aa66b894aa962c4cd5d09b,3,setupbench-runs-all-gpt-4.1;setupbench-runs-all-gpt-4.1-2rerun;setupbench-runs-all-gpt-5.4-multiblock,failed_in_project_run:1;succeeded_after_internal_repair:1;succeeded_after_project_retry:1
home-assistant/core,home-assistant-core,7555f20,3,installamatic-runs;installamatic-runs-rerun-failures-2;installamatic-runs-rerun-failures-3,failed_in_project_run:3
jxnl/instructor,jxnl-instructor,959097e,3,installamatic-runs;installamatic-runs-rerun-failures-2;installamatic-runs-rerun-failures-3,failed_in_project_run:3
mandarons/icloud-drive-docker,mandarons-icloud-drive-docker,8cbcc2c,3,installamatic-runs;installamatic-runs-rerun-failures-2;installamatic-runs-rerun-failures-3,failed_in_project_run:3
microsoft/qlib,microsoft-qlib,ca9f186,3,installamatic-runs;installamatic-runs-rerun-failures-2;installamatic-runs-rerun-failures-3,failed_in_project_run:3
