master_row_id,collection_method,record_kind,source_dir,project_slug,owner_repo,case_key,ok,trajectory_classification,project_attempt_classification,run_dir,executions_path,edge_direction,source_block,source_order,source_rank,source_lines,target_block,target_order,target_rank,target_lines,skipped_blocks,event_segment,event_first_phase,failed_phases,checkpoint_before_target,hint,edge_summary,covered_by_final_checkpoint_graph_scan,notes,generated_at_utc
1,final_blocks_baseline_checkpoint_graph,final_checkpoint_graph_non_adjacent,executionagent-runs-gpt4o,keras-team-keras,keras-team/keras,keras-team/keras@12401004073345c30917d43f0a5ba3a473ebe8b1,False,failed_in_project_run,failed_in_project_run,executionagent-runs-gpt4o/state/keras-team-keras/keras/runs/executionagent-gpt4o-keras,executionagent-runs-gpt4o/state/keras-team-keras/keras/runs/executionagent-gpt4o-keras/executions.jsonl,baseline_checkpoint_dependency,00-preflight,,,,10-system-packages,10,,,01-python-deps,,,,pheragent-executionagent-gpt4o:executionagent-gpt4o-keras-4d5199288b19-002-00-preflight-success,ing database ... 30%\n(Reading database ... 35%\n(Reading database ... 40%\n(Reading database ... preflight-success,BASE->00-preflight | 00-preflight->01-python-deps:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-python-deps) | 10-system-packages->20-python-runtime:previous | 20-python-runtime->30-python-deps:previous,yes,true_non_adjacent,2026-06-26T16:02:13.205523+00:00
2,final_blocks_baseline_checkpoint_graph,final_checkpoint_graph_non_adjacent,executionagent-runs-gpt4o,google-guava,google/guava,google/guava@bcc93d2336071021352a39cb8bd7227bcf537182,False,failed_in_project_run,failed_in_project_run,executionagent-runs-gpt4o/state/google-guava/guava/runs/executionagent-gpt4o-guava,executionagent-runs-gpt4o/state/google-guava/guava/runs/executionagent-gpt4o-guava/executions.jsonl,baseline_checkpoint_dependency,00-preflight,,,,20-java-runtime,20,,,01-java-deps,,,,pheragent-executionagent-gpt4o:executionagent-gpt4o-guava-4cebb941cb04-002-00-preflight-success,d package libmaven3-core-java. Preparing to unpack .../28-libmaven3-core-java_3.8.7-2_all.deb ... Unpacking libmaven3-core-java (3.8.7-2) ... Selecting previously unselected package libwagon-file-java. Preparing to unpack .../29-libwagon-file-java_3.5.3-1_a...,BASE->00-preflight | 00-preflight->01-java-deps:previous | 00-preflight->20-java-runtime:non_adjacent(skip=01-java-deps) | 20-java-runtime->30-java-deps:previous,yes,true_non_adjacent,2026-06-26T16:02:13.205523+00:00
3,final_blocks_baseline_checkpoint_graph,final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,keras-team-keras,keras-team/keras,keras-team/keras@12401004073345c30917d43f0a5ba3a473ebe8b1,False,failed_after_project_retries,failed_after_project_retries,executionagent-runs-gpt54/state/keras-team-keras/keras/runs/executionagent-keras,executionagent-runs-gpt54/state/keras-team-keras/keras/runs/executionagent-keras/executions.jsonl,baseline_checkpoint_dependency,00-preflight,,,,10-system-packages,10,,,01-system-deps;02-python-deps;03-build-test-prep,,,,pheragent-executionagent:executionagent-keras-6ab04e4a84e6-004-20-python-runtime-success,block failed: 30-python-deps,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-python-deps:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-system-deps,02-python-deps,03-build-test-prep) | 10-system-packages->20-python-runtime:previous | 20-python-runtime->30-python-deps:previous",yes,true_non_adjacent,2026-06-26T16:02:13.205523+00:00
4,final_blocks_baseline_checkpoint_graph,final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,reactivex-rxjava,ReactiveX/RxJava,ReactiveX/RxJava@6b28009fd08563eed648334d3d030acdd12818d3,False,failed_after_project_retries,failed_after_project_retries,executionagent-runs-gpt54/state/reactivex-rxjava/RxJava/runs/executionagent-rxjava,executionagent-runs-gpt54/state/reactivex-rxjava/RxJava/runs/executionagent-rxjava/executions.jsonl,baseline_checkpoint_dependency,00-preflight,,,,10-system-packages,10,,,01-system-deps;02-language-deps;03-build-test-prep,,,,pheragent-executionagent:executionagent-rxjava-273285059abc-005-21-gradle-toolchain-repaired,block failed: 30-java-deps,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 10-system-packages->20-java-runtime:previous | 20-java-runtime->21-gradle-toolchain:previous | 21-gradle-toolchain->30-java-deps:previous",yes,true_non_adjacent,2026-06-26T16:02:13.205523+00:00
5,final_blocks_baseline_checkpoint_graph,final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,nestjs-nest,nestjs/nest,nestjs/nest@845993d22a8c8be94986509fec4780027dfdbd53,True,succeeded_after_project_retry,succeeded_after_project_retry,executionagent-runs-gpt54/state/nestjs-nest/nest/runs/executionagent-nest,executionagent-runs-gpt54/state/nestjs-nest/nest/runs/executionagent-nest/executions.jsonl,baseline_checkpoint_dependency,00-preflight,,,,20-node-runtime,20,,,01-system-deps;02-language-deps;03-build-test-prep,,,,pheragent-executionagent:executionagent-nest-d6013219f77a-006-final-clean-replay-clean-replay,ng database ... 40% (Reading database ... 45% (Reading database ... 50% (Reading database ... 55% (Reading database ... 60% (Reading database ... 65% (Reading database ... 70% (Reading database ... 75% (Reading database ... 80% (Reading database ... 85% (Re...,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 00-preflight->20-node-runtime:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 20-node-runtime->30-node-deps:previous | 30-node-deps->50-test-tooling:previous",yes,true_non_adjacent,2026-06-26T16:02:13.205523+00:00
6,final_blocks_baseline_checkpoint_graph,final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,pandas-dev-pandas,pandas-dev/pandas,pandas-dev/pandas@944c527c0a7488df038b545f1ff38affae2f648c,False,failed_after_project_retries,failed_after_project_retries,executionagent-runs-gpt54/state/pandas-dev-pandas/pandas/runs/executionagent-pandas,executionagent-runs-gpt54/state/pandas-dev-pandas/pandas/runs/executionagent-pandas/executions.jsonl,baseline_checkpoint_dependency,00-preflight,,,,20-python-runtime,20,,,01-system-deps;02-python-deps;03-build-test-prep,,,,pheragent-executionagent:executionagent-pandas-fe8ee60d9235-005-30-python-deps-repaired,block failed: 50-test-tooling,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-python-deps:previous | 02-python-deps->03-build-test-prep:previous | 00-preflight->20-python-runtime:non_adjacent(skip=01-system-deps,02-python-deps,03-build-test-prep) | 20-python-runtime->30-python-deps:previous | 30-python-deps->50-test-tooling:previous",yes,true_non_adjacent,2026-06-26T16:02:13.205523+00:00
7,final_blocks_baseline_checkpoint_graph,final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,django-django,django/django,django/django@e95468ed97b1c250939da316218c39dad577ba32,False,failed_after_project_retries,failed_after_project_retries,executionagent-runs-gpt54/state/django-django/django/runs/executionagent-django,executionagent-runs-gpt54/state/django-django/django/runs/executionagent-django/executions.jsonl,baseline_checkpoint_dependency,00-preflight,,,,10-system-packages,10,,,01-system-deps;02-language-deps;03-build-test-prep,,,,pheragent-executionagent:executionagent-django-776b5fa1ddaa-007-31-node-deps-success,docker run failed:,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 02-language-deps->03-build-test-prep:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 10-system-packages->20-python-runtime:previous | 20-python-runtime->21-node-runtime:previous | 21-node-runtime->30-python-deps:previous | 30-python-deps->31-node-deps:previous | 31-node-deps->50-test-tooling:previous",yes,true_non_adjacent,2026-06-26T16:02:13.205523+00:00
8,final_blocks_baseline_checkpoint_graph,final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,mermaid-js-mermaid,mermaid-js/mermaid,mermaid-js/mermaid@019ee818db2648a1856f2f18533fa62a7d8fbb49,True,succeeded_after_project_retry,succeeded_after_project_retry,executionagent-runs-gpt54/state/mermaid-js-mermaid/mermaid/runs/executionagent-mermaid,executionagent-runs-gpt54/state/mermaid-js-mermaid/mermaid/runs/executionagent-mermaid/executions.jsonl,baseline_checkpoint_dependency,00-preflight,,,,20-node-runtime,20,,,01-system-deps;02-language-deps;03-build-test-prep,,,,pheragent-executionagent:executionagent-mermaid-5c43d9617793-006-final-clean-replay-clean-replay,: packages/examples/dist/mermaid-examples.core.mjs.map 24.8kb . prepare: ⚡ Done in 6ms . prepare: packages/examples/dist/mermaid-examples.esm.mjs 15.7kb . prepare: packages/examples/dist/mermaid-examples.esm.mjs.map 24.8kb . prepare: ⚡ Done in 6ms . prepare...,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 00-preflight->20-node-runtime:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 20-node-runtime->30-node-deps:previous | 30-node-deps->50-test-tooling:previous",yes,true_non_adjacent,2026-06-26T16:02:13.205523+00:00
9,final_blocks_baseline_checkpoint_graph,final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,dmlc-xgboost,dmlc/xgboost,dmlc/xgboost@e8fa612c9cfedd451958052422abadc0486dd937,False,failed_after_project_retries,failed_after_project_retries,executionagent-runs-gpt54/state/dmlc-xgboost/xgboost/runs/executionagent-xgboost,executionagent-runs-gpt54/state/dmlc-xgboost/xgboost/runs/executionagent-xgboost/executions.jsonl,baseline_checkpoint_dependency,00-preflight,,,,10-system-packages,10,,,10-system-deps;20-language-deps;30-build-test-prep,,,,pheragent-executionagent:executionagent-xgboost-5807e5cb28d5-002-00-preflight-success,block failed: 20-python-runtime,"BASE->00-preflight | 00-preflight->10-system-deps:previous | 10-system-deps->20-language-deps:previous | 20-language-deps->30-build-test-prep:previous | 00-preflight->10-system-packages:non_adjacent(skip=10-system-deps,20-language-deps,30-build-test-prep) | 10-system-packages->20-python-runtime:previous",yes,true_non_adjacent,2026-06-26T16:02:13.205523+00:00
10,final_blocks_baseline_checkpoint_graph,final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,apache-rocketmq,apache/rocketmq,apache/rocketmq@beee84fa44a064b10ada99bc655fb707c1f772f2,True,succeeded_after_project_retry,succeeded_after_project_retry,executionagent-runs-gpt54/state/apache-rocketmq/rocketmq/runs/executionagent-rocketmq,executionagent-runs-gpt54/state/apache-rocketmq/rocketmq/runs/executionagent-rocketmq/executions.jsonl,baseline_checkpoint_dependency,00-preflight,,,,10-system-packages,10,,,01-system-deps;02-language-deps;03-build-test-prep,,,,pheragent-executionagent:executionagent-rocketmq-7de1e4f3f430-007-final-clean-replay-clean-replay,,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 02-language-deps->03-build-test-prep:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 10-system-packages->20-java-runtime:previous | 20-java-runtime->30-java-deps:previous | 30-java-deps->50-test-tooling:previous",yes,true_non_adjacent,2026-06-26T16:02:13.205523+00:00
