source_dir,project_slug,owner_repo,case_key,ok,trajectory_classification,project_attempt_classification,run_dir,record_kinds,non_adjacent_record_count,runtime_event_count,final_graph_record_count,skipped_blocks_union,non_adjacent_edges,notes
executionagent-runs-gpt4o,facebook-react-native,facebook/react-native,facebook/react-native@0fabe263ccfae250695a0e96fe4ae924da82b533,False,failed_in_project_run,failed_in_project_run,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native,runtime_execution_backjump_non_adjacent,2,2,0,20-node-runtime,21-java-runtime[4/21]->10-system-packages[2/10] skip=20-node-runtime lines=12-13->14-24 | 21-java-runtime[4/21]->10-system-packages[2/10] skip=20-node-runtime lines=60-61->62-72,missed_by_final_checkpoint_graph
executionagent-runs-gpt4o,google-guava,google/guava,google/guava@bcc93d2336071021352a39cb8bd7227bcf537182,False,failed_in_project_run,failed_in_project_run,executionagent-runs-gpt4o/state/google-guava/guava/runs/executionagent-gpt4o-guava,final_checkpoint_graph_non_adjacent,1,0,1,01-java-deps,BASE->00-preflight | 00-preflight->01-java-deps:previous | 00-preflight->20-java-runtime:non_adjacent(skip=01-java-deps) | 20-java-runtime->30-java-deps:previous,true_non_adjacent
executionagent-runs-gpt4o,keras-team-keras,keras-team/keras,keras-team/keras@12401004073345c30917d43f0a5ba3a473ebe8b1,False,failed_in_project_run,failed_in_project_run,executionagent-runs-gpt4o/state/keras-team-keras/keras/runs/executionagent-gpt4o-keras,final_checkpoint_graph_non_adjacent,1,0,1,01-python-deps,BASE->00-preflight | 00-preflight->01-python-deps:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-python-deps) | 10-system-packages->20-python-runtime:previous | 20-python-runtime->30-python-deps:previous,true_non_adjacent
executionagent-runs-gpt4o,msgpack-msgpack-c,msgpack/msgpack-c,msgpack/msgpack-c@b0d379a6f29af7dd65423ff78a94de8948f01bd8,False,failed_in_project_run,failed_in_project_run,executionagent-runs-gpt4o/state/msgpack-msgpack-c/msgpack-c/runs/executionagent-gpt4o-msgpack-c,runtime_execution_backjump_non_adjacent,1,1,0,10-system-packages,20-native-build-config[3/20]->00-preflight[1/0] skip=10-system-packages lines=8-9->10-20,missed_by_final_checkpoint_graph
executionagent-runs-gpt4o,mybatis-mybatis-3,mybatis/mybatis-3,mybatis/mybatis-3@58e2d5e9b0359116ebdc7ea2ea0a88d55545d4e2,True,succeeded_after_internal_repair,one_project_attempt_success,executionagent-runs-gpt4o/state/mybatis-mybatis-3/mybatis-3/runs/executionagent-gpt4o-mybatis-3,runtime_execution_backjump_non_adjacent,1,1,0,01-java-deps,20-java-runtime[3/20]->00-preflight[1/0] skip=01-java-deps lines=6-7->8-18,missed_by_final_checkpoint_graph
executionagent-runs-gpt4o,python-cpython,python/cpython,python/cpython@1eddef81930ad9f7e2f411f153c35af16a6edf14,True,succeeded_after_internal_repair,one_project_attempt_success,executionagent-runs-gpt4o/state/python-cpython/cpython/runs/executionagent-gpt4o-cpython,runtime_execution_backjump_non_adjacent,1,1,0,20-python-runtime;20-runtime-toolchain,30-project-dependencies[5/30]->10-system-packages[2/10] skip=20-python-runtime;20-runtime-toolchain lines=56-57->58-68,missed_by_final_checkpoint_graph
executionagent-runs-gpt4o,reactivex-rxjava,ReactiveX/RxJava,ReactiveX/RxJava@6b28009fd08563eed648334d3d030acdd12818d3,True,succeeded_after_internal_repair,one_project_attempt_success,executionagent-runs-gpt4o/state/reactivex-rxjava/RxJava/runs/executionagent-gpt4o-rxjava,runtime_execution_backjump_non_adjacent,1,1,0,01-java-deps,20-java-runtime[3/20]->00-preflight[1/0] skip=01-java-deps lines=6-7->8-10,missed_by_final_checkpoint_graph
executionagent-runs-gpt4o,spring-projects-spring-security,spring-projects/spring-security,spring-projects/spring-security@0d5f42f8529c1e56886e91616b6ca7d30f15c65e,True,clean_one_shot_success,one_project_attempt_success,executionagent-runs-gpt4o/state/spring-projects-spring-security/spring-security/runs/executionagent-gpt4o-spring-security,runtime_execution_backjump_non_adjacent,1,1,0,10-system-packages,20-java-runtime[3/20]->00-preflight[1/0] skip=10-system-packages lines=6-7->8-10,missed_by_final_checkpoint_graph
executionagent-runs-gpt54,apache-rocketmq,apache/rocketmq,apache/rocketmq@beee84fa44a064b10ada99bc655fb707c1f772f2,True,succeeded_after_project_retry,succeeded_after_project_retry,executionagent-runs-gpt54/state/apache-rocketmq/rocketmq/runs/executionagent-rocketmq,final_checkpoint_graph_non_adjacent,1,0,1,01-system-deps;02-language-deps;03-build-test-prep,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 02-language-deps->03-build-test-prep:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 10-system-packages->20-java-runtime:previous | 20-java-runtime->30-java-deps:previous | 30-java-deps->50-test-tooling:previous",true_non_adjacent
executionagent-runs-gpt54,django-django,django/django,django/django@e95468ed97b1c250939da316218c39dad577ba32,False,failed_after_project_retries,failed_after_project_retries,executionagent-runs-gpt54/state/django-django/django/runs/executionagent-django,final_checkpoint_graph_non_adjacent,1,0,1,01-system-deps;02-language-deps;03-build-test-prep,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 02-language-deps->03-build-test-prep:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 10-system-packages->20-python-runtime:previous | 20-python-runtime->21-node-runtime:previous | 21-node-runtime->30-python-deps:previous | 30-python-deps->31-node-deps:previous | 31-node-deps->50-test-tooling:previous",true_non_adjacent
