source_dir,trajectory_source_kind,project_slug,repo_dir_name,owner_repo,commit_version,case_key,project_dir,run_id,run_dir,manifest_path,context_path,executions_path,manifest_present,ok,project_attempt_count,project_log_count,total_repair_attempts,block_count,failed_block_count,first_failed_block,trajectory_classification,project_attempt_classification,not_one_shot_trajectory,not_one_shot_project_attempt,manifest_error,final_image
executionagent-runs-gpt4o,state_run,keras-team-keras,keras,keras-team/keras,12401004073345c30917d43f0a5ba3a473ebe8b1,keras-team/keras@12401004073345c30917d43f0a5ba3a473ebe8b1,executionagent-runs-gpt4o/projects/keras-team-keras/keras,executionagent-gpt4o-keras,executionagent-runs-gpt4o/state/keras-team-keras/keras/runs/executionagent-gpt4o-keras,executionagent-runs-gpt4o/state/keras-team-keras/keras/runs/executionagent-gpt4o-keras/manifest.json,executionagent-runs-gpt4o/state/keras-team-keras/keras/runs/executionagent-gpt4o-keras/context.json,executionagent-runs-gpt4o/state/keras-team-keras/keras/runs/executionagent-gpt4o-keras/executions.jsonl,True,False,1,2,2,6,3,01-python-deps,failed_in_project_run,failed_in_project_run,True,True,ing database ... 30%\n(Reading database ... 35%\n(Reading database ... 40%\n(Reading database ... preflight-success,pheragent-executionagent-gpt4o:executionagent-gpt4o-keras-4d5199288b19-002-00-preflight-success
executionagent-runs-gpt4o,state_run,reactivex-rxjava,RxJava,ReactiveX/RxJava,6b28009fd08563eed648334d3d030acdd12818d3,ReactiveX/RxJava@6b28009fd08563eed648334d3d030acdd12818d3,executionagent-runs-gpt4o/projects/reactivex-rxjava/RxJava,executionagent-gpt4o-rxjava,executionagent-runs-gpt4o/state/reactivex-rxjava/RxJava/runs/executionagent-gpt4o-rxjava,executionagent-runs-gpt4o/state/reactivex-rxjava/RxJava/runs/executionagent-gpt4o-rxjava/manifest.json,executionagent-runs-gpt4o/state/reactivex-rxjava/RxJava/runs/executionagent-gpt4o-rxjava/context.json,executionagent-runs-gpt4o/state/reactivex-rxjava/RxJava/runs/executionagent-gpt4o-rxjava/executions.jsonl,True,True,1,2,1,5,3,20-java-runtime,succeeded_after_internal_repair,one_project_attempt_success,True,False,sh: 1: java: not found sh: 1: gradle: not found,pheragent-executionagent-gpt4o:executionagent-gpt4o-rxjava-c6e90835fc64-004-final-clean-replay-clean-replay
executionagent-runs-gpt4o,state_run,nestjs-nest,nest,nestjs/nest,845993d22a8c8be94986509fec4780027dfdbd53,nestjs/nest@845993d22a8c8be94986509fec4780027dfdbd53,executionagent-runs-gpt4o/projects/nestjs-nest/nest,executionagent-gpt4o-nest,executionagent-runs-gpt4o/state/nestjs-nest/nest/runs/executionagent-gpt4o-nest,executionagent-runs-gpt4o/state/nestjs-nest/nest/runs/executionagent-gpt4o-nest/manifest.json,executionagent-runs-gpt4o/state/nestjs-nest/nest/runs/executionagent-gpt4o-nest/context.json,executionagent-runs-gpt4o/state/nestjs-nest/nest/runs/executionagent-gpt4o-nest/executions.jsonl,True,False,1,2,2,5,2,30-node-deps,failed_in_project_run,failed_in_project_run,True,True,block failed: 30-node-deps,pheragent-executionagent-gpt4o:executionagent-gpt4o-nest-eab793442b01-004-20-node-runtime-success
executionagent-runs-gpt4o,state_run,pandas-dev-pandas,pandas,pandas-dev/pandas,944c527c0a7488df038b545f1ff38affae2f648c,pandas-dev/pandas@944c527c0a7488df038b545f1ff38affae2f648c,executionagent-runs-gpt4o/projects/pandas-dev-pandas/pandas,executionagent-gpt4o-pandas,executionagent-runs-gpt4o/state/pandas-dev-pandas/pandas/runs/executionagent-gpt4o-pandas,executionagent-runs-gpt4o/state/pandas-dev-pandas/pandas/runs/executionagent-gpt4o-pandas/manifest.json,executionagent-runs-gpt4o/state/pandas-dev-pandas/pandas/runs/executionagent-gpt4o-pandas/context.json,executionagent-runs-gpt4o/state/pandas-dev-pandas/pandas/runs/executionagent-gpt4o-pandas/executions.jsonl,True,True,1,1,2,5,0,,succeeded_after_internal_repair,one_project_attempt_success,True,False,,pheragent-executionagent-gpt4o:executionagent-gpt4o-pandas-661008671f41-008-final-clean-replay-clean-replay
executionagent-runs-gpt4o,state_run,msgpack-msgpack-c,msgpack-c,msgpack/msgpack-c,b0d379a6f29af7dd65423ff78a94de8948f01bd8,msgpack/msgpack-c@b0d379a6f29af7dd65423ff78a94de8948f01bd8,executionagent-runs-gpt4o/projects/msgpack-msgpack-c/msgpack-c,executionagent-gpt4o-msgpack-c,executionagent-runs-gpt4o/state/msgpack-msgpack-c/msgpack-c/runs/executionagent-gpt4o-msgpack-c,executionagent-runs-gpt4o/state/msgpack-msgpack-c/msgpack-c/runs/executionagent-gpt4o-msgpack-c/manifest.json,executionagent-runs-gpt4o/state/msgpack-msgpack-c/msgpack-c/runs/executionagent-gpt4o-msgpack-c/context.json,executionagent-runs-gpt4o/state/msgpack-msgpack-c/msgpack-c/runs/executionagent-gpt4o-msgpack-c/executions.jsonl,True,False,1,2,1,5,3,20-native-build-config,failed_in_project_run,failed_in_project_run,True,True,"CMake Warning: Ignoring extra path from command line: "".."" CMake Error: The source directory ""/workspace/repo"" does not appear to contain CMakeLists.txt. Specify --help for usage, or press the help button on the CMake GUI.",pheragent-executionagent-gpt4o:executionagent-gpt4o-msgpack-c-370097d29b60-004-10-system-packages-repaired
executionagent-runs-gpt4o,state_run,django-django,django,django/django,e95468ed97b1c250939da316218c39dad577ba32,django/django@e95468ed97b1c250939da316218c39dad577ba32,executionagent-runs-gpt4o/projects/django-django/django,executionagent-gpt4o-django,executionagent-runs-gpt4o/state/django-django/django/runs/executionagent-gpt4o-django,executionagent-runs-gpt4o/state/django-django/django/runs/executionagent-gpt4o-django/manifest.json,executionagent-runs-gpt4o/state/django-django/django/runs/executionagent-gpt4o-django/context.json,executionagent-runs-gpt4o/state/django-django/django/runs/executionagent-gpt4o-django/executions.jsonl,True,True,1,2,1,7,0,,succeeded_after_internal_repair,one_project_attempt_success,True,False,,pheragent-executionagent-gpt4o:executionagent-gpt4o-django-8f939c2a48e0-008-final-clean-replay-clean-replay
executionagent-runs-gpt4o,state_run,dmlc-xgboost,xgboost,dmlc/xgboost,e8fa612c9cfedd451958052422abadc0486dd937,dmlc/xgboost@e8fa612c9cfedd451958052422abadc0486dd937,executionagent-runs-gpt4o/projects/dmlc-xgboost/xgboost,executionagent-gpt4o-xgboost,executionagent-runs-gpt4o/state/dmlc-xgboost/xgboost/runs/executionagent-gpt4o-xgboost,executionagent-runs-gpt4o/state/dmlc-xgboost/xgboost/runs/executionagent-gpt4o-xgboost/manifest.json,executionagent-runs-gpt4o/state/dmlc-xgboost/xgboost/runs/executionagent-gpt4o-xgboost/context.json,executionagent-runs-gpt4o/state/dmlc-xgboost/xgboost/runs/executionagent-gpt4o-xgboost/executions.jsonl,True,True,1,1,1,3,0,,succeeded_after_internal_repair,one_project_attempt_success,True,False,,pheragent-executionagent-gpt4o:executionagent-gpt4o-xgboost-026df184db70-006-final-clean-replay-clean-replay
executionagent-runs-gpt4o,state_run,facebook-react-native,react-native,facebook/react-native,0fabe263ccfae250695a0e96fe4ae924da82b533,facebook/react-native@0fabe263ccfae250695a0e96fe4ae924da82b533,executionagent-runs-gpt4o/projects/facebook-react-native/react-native,executionagent-gpt4o-react-native,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native/manifest.json,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native/context.json,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native/executions.jsonl,True,False,1,2,3,7,4,21-java-runtime,failed_in_project_run,failed_in_project_run,True,True,block failed: 21-java-runtime,pheragent-executionagent-gpt4o:executionagent-gpt4o-react-native-aaf3f9a16c22-006-20-node-runtime-success
executionagent-runs-gpt4o,state_run,pallets-flask,flask,pallets/flask,2579ce9f18e67ec3213c6eceb5240310ccd46af8,pallets/flask@2579ce9f18e67ec3213c6eceb5240310ccd46af8,executionagent-runs-gpt4o/projects/pallets-flask/flask,executionagent-gpt4o-flask,executionagent-runs-gpt4o/state/pallets-flask/flask/runs/executionagent-gpt4o-flask,executionagent-runs-gpt4o/state/pallets-flask/flask/runs/executionagent-gpt4o-flask/manifest.json,executionagent-runs-gpt4o/state/pallets-flask/flask/runs/executionagent-gpt4o-flask/context.json,executionagent-runs-gpt4o/state/pallets-flask/flask/runs/executionagent-gpt4o-flask/executions.jsonl,True,False,1,2,1,5,4,10-system-packages,failed_in_project_run,failed_in_project_run,True,True,"b ...\nUnpacking python3.12 (3.12.3-1ubuntu0.13) ...\nSelecting previously unselected package libpython3-stdlib:amd64.\nPreparing to unpack .../5-libpython3-stdlib_3.12.3-0ubuntu2.1_amd64.deb ...\nUnpacking libpython3-stdlib:amd64 (3.12.3-0ubuntu2.1) ...\nSetting up python3-minimal (3.12.3-0ubuntu2.1) ...\nSelecting previously unselected package python3.\n(Reading database ... \n(Reading database ... 5%\n(Reading database ... 10%\n(Reading database ... 15%\n(Reading database ... 20%\n(Reading database ... 25%\n(Reading database ... 30%\n(Reading database ... 35%\n(Reading database ... 40%\n(Reading database ... 45%\n(Reading database ... 50%\n(Reading database ... 55%\n(Reading database ... 60%\n(Reading database ... 65%\n(Reading database ... 70%\n(Reading database ... 75%\n(Reading database ... 80%\n(Reading database ... 85%\n(Reading database ... 90%\n(Reading database ... 95%\n(Reading database ... 100%\n(Reading database ... 17271 files and directories currently installed.)\nPreparing to unpack .../0-python3_3.12.3-0ubuntu2.1_amd64.deb ...\nUnpacking python3 (3.12.3-0ubuntu2.1) ...\nSelecting previously unselected package python3-pkg-resources.\nPreparing to unpack .../1-python3-pkg-resources_68.1.2-2ubuntu1.2_all.deb ...\nUnpacking python3-pkg-resources (68.1.2-2ubuntu1.2) ...\nSelecting previously unselected package python3-setuptools.\nPreparing to unpack .../2-python3-setuptools_68.1.2-2ubuntu1.2_all.deb ...\nUnpacking python3-setuptools (68.1.2-2ubuntu1.2) ...\nSelecting previously unselected package python3-wheel.\nPreparing to unpack .../3-python3-wheel_0.42.0-2_all.deb ...\nUnpacking python3-wheel (0.42.0-2) ...\nSelecting previously unselected package python3-pip.\nPreparing to unpack .../4-python3-pip_24.0+dfsg-1ubuntu1.3_all.deb ...\nUnpacking python3-pip (24.0+dfsg-1ubuntu1.3) ...\nSelecting previously unselected package python3-pip-whl.\nPreparing to unpack .../5-python3-pip-whl_24.0+dfsg-1ubuntu1.3_all.deb ...\nUnpacking python3-pip-whl (24.0+dfsg-1ubuntu1.3) ...\nSelecting previously unselected package python3-setuptools-whl.\nPreparing to unpack .../6-python3-setuptools-whl_68.1.2-2ubuntu1.2_all.deb ...\nUnpacking python3-setuptools-whl (68.1.2-2ubuntu1.2) ...\nSelecting previously unselected package python3.12-venv.\nPreparing to unpack .../7-python3.12-venv_3.12.3-1ubuntu0.13_amd64.deb ...\nUnpacking python3.12-venv (3.12.3-1ubuntu0.13) ...\nSelecting previously unselected package python3-venv.\nPreparing to unpack .../8-python3-venv_3.12.3-0ubuntu2.1_amd64.deb ...\nUnpacking python3-venv (3.12.3-0ubuntu2.1) ...\nSetting up media-types (10.1.0) ...\nSetting up python3-setuptools-whl (68.1.2-2ubuntu1.2) ...\nSetting up python3-pip-whl (24.0+dfsg-1ubuntu1.3) ...\nSetting up tzdata (2026a-0ubuntu0.24.04.1) ...\n\nCurrent default time zone: 'Etc/UTC'\nLocal time is now: Wed Jun 24 07:52:01 UTC 2026.\nUniversal Time is now: Wed Jun 24 07:52:01 UTC 2026.\nRun 'dpkg-reconfigure l,",pheragent-executionagent-gpt4o:executionagent-gpt4o-flask-3c4cfd304e75-002-00-preflight-success
executionagent-runs-gpt4o,state_run,apache-commons-csv,commons-csv,apache/commons-csv,2d44689ec75eb7291438973a188d26037990c29e,apache/commons-csv@2d44689ec75eb7291438973a188d26037990c29e,executionagent-runs-gpt4o/projects/apache-commons-csv/commons-csv,executionagent-gpt4o-commons-csv,executionagent-runs-gpt4o/state/apache-commons-csv/commons-csv/runs/executionagent-gpt4o-commons-csv,executionagent-runs-gpt4o/state/apache-commons-csv/commons-csv/runs/executionagent-gpt4o-commons-csv/manifest.json,executionagent-runs-gpt4o/state/apache-commons-csv/commons-csv/runs/executionagent-gpt4o-commons-csv/context.json,executionagent-runs-gpt4o/state/apache-commons-csv/commons-csv/runs/executionagent-gpt4o-commons-csv/executions.jsonl,True,True,1,1,1,4,0,,succeeded_after_internal_repair,one_project_attempt_success,True,False,,pheragent-executionagent-gpt4o:executionagent-gpt4o-commons-csv-b93bac548ceb-007-final-clean-replay-clean-replay
