rollback_classification,source_dir,project_slug,owner_repo,commit_version,run_dir,first_non_adjacent_target_block,first_non_adjacent_block,first_non_adjacent_skipped_blocks
insufficient_block_data,projects-repo2run,LazyLLM,,,projects-repo2run/LazyLLM/.pheragent/runs/repo2run-gpt-4o-20241120-lazyllm,,,
insufficient_block_data,setupbench-runs-all-gpt-4.1,johnpapa-vscode-angular-snippets,johnpapa/vscode-angular-snippets,1551fe19c3d8a915b5978c0f143279021fa66e84,setupbench-runs-all-gpt-4.1/state/johnpapa-vscode-angular-snippets/vscode-angular-snippets/runs/setupbench-vscode-angular-snippets,,,
insufficient_block_data,setupbench-runs-all-gpt-4.1,servo-servo,servo/servo,e199a67dac1aa3c74fb86f103c13ae78ce523f20,setupbench-runs-all-gpt-4.1/state/servo-servo/servo/runs/setupbench-servo,,,
insufficient_block_data,setupbench-runs-all-gpt-4.1-2rerun,monero-project-monero,monero-project/monero,84685492e63867b72fc6412093273ecd625190d1,setupbench-runs-all-gpt-4.1-2rerun/state/monero-project-monero/monero/runs/setupbench-monero,,,
insufficient_block_data,setupbench-runs-all-gpt-4.1-2rerun,openai-openai-node,openai/openai-node,8958d9711b66e0cbacf816b7b4538217016beb0b,setupbench-runs-all-gpt-4.1-2rerun/state/openai-openai-node/openai-node/runs/setupbench-openai-node,,,
insufficient_block_data,setupbench-runs-all-gpt-4.1-2rerun,ta-lib-ta-lib-python,TA-Lib/ta-lib-python,0c957ed45e6371925cf0e4f44cc06833306c659c,setupbench-runs-all-gpt-4.1-2rerun/state/ta-lib-ta-lib-python/ta-lib-python/runs/setupbench-ta-lib-python,,,
insufficient_checkpoint_data,setupbench-runs-all-gpt-4.1,python-hyper-rfc3986,python-hyper/rfc3986,75e77baed146976442bb11d4adda0eb322c6a6b5,setupbench-runs-all-gpt-4.1/state/python-hyper-rfc3986/rfc3986/runs/setupbench-rfc3986,,,
non_adjacent_block_rollback,executionagent-runs-gpt4o,google-guava,google/guava,bcc93d2336071021352a39cb8bd7227bcf537182,executionagent-runs-gpt4o/state/google-guava/guava/runs/executionagent-gpt4o-guava,00-preflight,20-java-runtime,01-java-deps
non_adjacent_block_rollback,executionagent-runs-gpt4o,keras-team-keras,keras-team/keras,12401004073345c30917d43f0a5ba3a473ebe8b1,executionagent-runs-gpt4o/state/keras-team-keras/keras/runs/executionagent-gpt4o-keras,00-preflight,10-system-packages,01-python-deps
non_adjacent_block_rollback,executionagent-runs-gpt54,apache-rocketmq,apache/rocketmq,beee84fa44a064b10ada99bc655fb707c1f772f2,executionagent-runs-gpt54/state/apache-rocketmq/rocketmq/runs/executionagent-rocketmq,00-preflight,10-system-packages,01-system-deps;02-language-deps;03-build-test-prep
non_adjacent_block_rollback,executionagent-runs-gpt54,django-django,django/django,e95468ed97b1c250939da316218c39dad577ba32,executionagent-runs-gpt54/state/django-django/django/runs/executionagent-django,00-preflight,10-system-packages,01-system-deps;02-language-deps;03-build-test-prep
non_adjacent_block_rollback,executionagent-runs-gpt54,dmlc-xgboost,dmlc/xgboost,e8fa612c9cfedd451958052422abadc0486dd937,executionagent-runs-gpt54/state/dmlc-xgboost/xgboost/runs/executionagent-xgboost,00-preflight,10-system-packages,10-system-deps;20-language-deps;30-build-test-prep
non_adjacent_block_rollback,executionagent-runs-gpt54,facebook-react,facebook/react,b061b597f77c979531a3f2c9c04ba435342b0043,executionagent-runs-gpt54/state/facebook-react/react/runs/executionagent-react,00-preflight,20-node-runtime,01-system-deps;02-language-deps;03-build-test-prep
non_adjacent_block_rollback,executionagent-runs-gpt54,google-guava,google/guava,bcc93d2336071021352a39cb8bd7227bcf537182,executionagent-runs-gpt54/state/google-guava/guava/runs/executionagent-guava,00-preflight,10-system-packages,01-system-deps;02-language-deps;03-build-test-prep
non_adjacent_block_rollback,executionagent-runs-gpt54,keras-team-keras,keras-team/keras,12401004073345c30917d43f0a5ba3a473ebe8b1,executionagent-runs-gpt54/state/keras-team-keras/keras/runs/executionagent-keras,00-preflight,10-system-packages,01-system-deps;02-python-deps;03-build-test-prep
non_adjacent_block_rollback,executionagent-runs-gpt54,mermaid-js-mermaid,mermaid-js/mermaid,019ee818db2648a1856f2f18533fa62a7d8fbb49,executionagent-runs-gpt54/state/mermaid-js-mermaid/mermaid/runs/executionagent-mermaid,00-preflight,20-node-runtime,01-system-deps;02-language-deps;03-build-test-prep
non_adjacent_block_rollback,executionagent-runs-gpt54,nestjs-nest,nestjs/nest,845993d22a8c8be94986509fec4780027dfdbd53,executionagent-runs-gpt54/state/nestjs-nest/nest/runs/executionagent-nest,00-preflight,20-node-runtime,01-system-deps;02-language-deps;03-build-test-prep
non_adjacent_block_rollback,executionagent-runs-gpt54,pandas-dev-pandas,pandas-dev/pandas,944c527c0a7488df038b545f1ff38affae2f648c,executionagent-runs-gpt54/state/pandas-dev-pandas/pandas/runs/executionagent-pandas,00-preflight,20-python-runtime,01-system-deps;02-python-deps;03-build-test-prep
non_adjacent_block_rollback,executionagent-runs-gpt54,pytest-dev-pytest,pytest-dev/pytest,fa6a232d529b33f6388dc788d7613cf206c08130,executionagent-runs-gpt54/state/pytest-dev-pytest/pytest/runs/executionagent-pytest,00-preflight,20-python-runtime,01-system-deps;02-language-deps;03-build-test-prep
non_adjacent_block_rollback,executionagent-runs-gpt54,reactivex-rxjava,ReactiveX/RxJava,6b28009fd08563eed648334d3d030acdd12818d3,executionagent-runs-gpt54/state/reactivex-rxjava/RxJava/runs/executionagent-rxjava,00-preflight,10-system-packages,01-system-deps;02-language-deps;03-build-test-prep
non_adjacent_block_rollback,executionagent-runs-gpt54,scikit-learn-scikit-learn,scikit-learn/scikit-learn,a1cae3ea26d4703f7eedd79464c18e6825c8f2cc,executionagent-runs-gpt54/state/scikit-learn-scikit-learn/scikit-learn/runs/executionagent-scikit-learn,00-preflight,20-python-runtime,01-system-deps;02-python-deps;03-build-test-prep
non_adjacent_block_rollback,executionagent-runs-gpt54,scipy-scipy,scipy/scipy,a2da2bdbe85a1e46b2b94e8b5c5569783d9e84bd,executionagent-runs-gpt54/state/scipy-scipy/scipy/runs/executionagent-scipy,00-preflight,10-system-packages,01-system-deps;02-python-deps;03-build-test-prep
non_adjacent_block_rollback,projects-repo2run,instructlab,,,projects-repo2run/instructlab/.pheragent/runs/repo2run-gpt-4o-20241120-instructlab,20-python-runtime,30-python-deps,50-test-tooling
previous_block_only_rollback,executionagent-runs-gpt4o,activiti-activiti,Activiti/Activiti,fdc35a408e03da2e034a17a54968750d111b17e6,executionagent-runs-gpt4o/state/activiti-activiti/Activiti/runs/executionagent-gpt4o-activiti,,,
previous_block_only_rollback,executionagent-runs-gpt4o,ansible-ansible,ansible/ansible,9f42cefca6d1e6eefb6b806108d7da4368439a0f,executionagent-runs-gpt4o/state/ansible-ansible/ansible/runs/executionagent-gpt4o-ansible,,,
previous_block_only_rollback,executionagent-runs-gpt4o,apache-flink,apache/flink,7ba97419d200adef672b67c52c2b5a79f277cfda,executionagent-runs-gpt4o/state/apache-flink/flink/runs/executionagent-gpt4o-flink,,,
previous_block_only_rollback,executionagent-runs-gpt4o,denoland-deno,denoland/deno,952963cb42b20cd9469a8b0349fb53b15ef95d1f,executionagent-runs-gpt4o/state/denoland-deno/deno/runs/executionagent-gpt4o-deno,,,
previous_block_only_rollback,executionagent-runs-gpt4o,facebook-react-native,facebook/react-native,0fabe263ccfae250695a0e96fe4ae924da82b533,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native,,,
previous_block_only_rollback,executionagent-runs-gpt4o,msgpack-msgpack-c,msgpack/msgpack-c,b0d379a6f29af7dd65423ff78a94de8948f01bd8,executionagent-runs-gpt4o/state/msgpack-msgpack-c/msgpack-c/runs/executionagent-gpt4o-msgpack-c,,,
previous_block_only_rollback,executionagent-runs-gpt4o,nestjs-nest,nestjs/nest,845993d22a8c8be94986509fec4780027dfdbd53,executionagent-runs-gpt4o/state/nestjs-nest/nest/runs/executionagent-gpt4o-nest,,,
previous_block_only_rollback,executionagent-runs-gpt4o,opencv-opencv,opencv/opencv,579dfb6e025c62acb16b7b3e1fe953030df68d40,executionagent-runs-gpt4o/state/opencv-opencv/opencv/runs/executionagent-gpt4o-opencv,,,
