record_kind,source_dir,project_slug,owner_repo,case_key,ok,run_dir,edge_direction,from_block,from_order,to_block,to_order,skipped_blocks,event_lines,edge_summary,notes
final_checkpoint_graph_non_adjacent,executionagent-runs-gpt4o,keras-team-keras,keras-team/keras,keras-team/keras@12401004073345c30917d43f0a5ba3a473ebe8b1,False,executionagent-runs-gpt4o/state/keras-team-keras/keras/runs/executionagent-gpt4o-keras,baseline_checkpoint_dependency,00-preflight,,10-system-packages,10,01-python-deps,,BASE->00-preflight | 00-preflight->01-python-deps:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-python-deps) | 10-system-packages->20-python-runtime:previous | 20-python-runtime->30-python-deps:previous,true_non_adjacent
final_checkpoint_graph_non_adjacent,executionagent-runs-gpt4o,google-guava,google/guava,google/guava@bcc93d2336071021352a39cb8bd7227bcf537182,False,executionagent-runs-gpt4o/state/google-guava/guava/runs/executionagent-gpt4o-guava,baseline_checkpoint_dependency,00-preflight,,20-java-runtime,20,01-java-deps,,BASE->00-preflight | 00-preflight->01-java-deps:previous | 00-preflight->20-java-runtime:non_adjacent(skip=01-java-deps) | 20-java-runtime->30-java-deps:previous,true_non_adjacent
final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,keras-team-keras,keras-team/keras,keras-team/keras@12401004073345c30917d43f0a5ba3a473ebe8b1,False,executionagent-runs-gpt54/state/keras-team-keras/keras/runs/executionagent-keras,baseline_checkpoint_dependency,00-preflight,,10-system-packages,10,01-system-deps;02-python-deps;03-build-test-prep,,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-python-deps:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-system-deps,02-python-deps,03-build-test-prep) | 10-system-packages->20-python-runtime:previous | 20-python-runtime->30-python-deps:previous",true_non_adjacent
final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,reactivex-rxjava,ReactiveX/RxJava,ReactiveX/RxJava@6b28009fd08563eed648334d3d030acdd12818d3,False,executionagent-runs-gpt54/state/reactivex-rxjava/RxJava/runs/executionagent-rxjava,baseline_checkpoint_dependency,00-preflight,,10-system-packages,10,01-system-deps;02-language-deps;03-build-test-prep,,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 10-system-packages->20-java-runtime:previous | 20-java-runtime->21-gradle-toolchain:previous | 21-gradle-toolchain->30-java-deps:previous",true_non_adjacent
final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,nestjs-nest,nestjs/nest,nestjs/nest@845993d22a8c8be94986509fec4780027dfdbd53,True,executionagent-runs-gpt54/state/nestjs-nest/nest/runs/executionagent-nest,baseline_checkpoint_dependency,00-preflight,,20-node-runtime,20,01-system-deps;02-language-deps;03-build-test-prep,,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 00-preflight->20-node-runtime:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 20-node-runtime->30-node-deps:previous | 30-node-deps->50-test-tooling:previous",true_non_adjacent
final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,pandas-dev-pandas,pandas-dev/pandas,pandas-dev/pandas@944c527c0a7488df038b545f1ff38affae2f648c,False,executionagent-runs-gpt54/state/pandas-dev-pandas/pandas/runs/executionagent-pandas,baseline_checkpoint_dependency,00-preflight,,20-python-runtime,20,01-system-deps;02-python-deps;03-build-test-prep,,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-python-deps:previous | 02-python-deps->03-build-test-prep:previous | 00-preflight->20-python-runtime:non_adjacent(skip=01-system-deps,02-python-deps,03-build-test-prep) | 20-python-runtime->30-python-deps:previous | 30-python-deps->50-test-tooling:previous",true_non_adjacent
final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,django-django,django/django,django/django@e95468ed97b1c250939da316218c39dad577ba32,False,executionagent-runs-gpt54/state/django-django/django/runs/executionagent-django,baseline_checkpoint_dependency,00-preflight,,10-system-packages,10,01-system-deps;02-language-deps;03-build-test-prep,,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 02-language-deps->03-build-test-prep:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 10-system-packages->20-python-runtime:previous | 20-python-runtime->21-node-runtime:previous | 21-node-runtime->30-python-deps:previous | 30-python-deps->31-node-deps:previous | 31-node-deps->50-test-tooling:previous",true_non_adjacent
final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,mermaid-js-mermaid,mermaid-js/mermaid,mermaid-js/mermaid@019ee818db2648a1856f2f18533fa62a7d8fbb49,True,executionagent-runs-gpt54/state/mermaid-js-mermaid/mermaid/runs/executionagent-mermaid,baseline_checkpoint_dependency,00-preflight,,20-node-runtime,20,01-system-deps;02-language-deps;03-build-test-prep,,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 00-preflight->20-node-runtime:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 20-node-runtime->30-node-deps:previous | 30-node-deps->50-test-tooling:previous",true_non_adjacent
final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,dmlc-xgboost,dmlc/xgboost,dmlc/xgboost@e8fa612c9cfedd451958052422abadc0486dd937,False,executionagent-runs-gpt54/state/dmlc-xgboost/xgboost/runs/executionagent-xgboost,baseline_checkpoint_dependency,00-preflight,,10-system-packages,10,10-system-deps;20-language-deps;30-build-test-prep,,"BASE->00-preflight | 00-preflight->10-system-deps:previous | 10-system-deps->20-language-deps:previous | 20-language-deps->30-build-test-prep:previous | 00-preflight->10-system-packages:non_adjacent(skip=10-system-deps,20-language-deps,30-build-test-prep) | 10-system-packages->20-python-runtime:previous",true_non_adjacent
final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,apache-rocketmq,apache/rocketmq,apache/rocketmq@beee84fa44a064b10ada99bc655fb707c1f772f2,True,executionagent-runs-gpt54/state/apache-rocketmq/rocketmq/runs/executionagent-rocketmq,baseline_checkpoint_dependency,00-preflight,,10-system-packages,10,01-system-deps;02-language-deps;03-build-test-prep,,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 02-language-deps->03-build-test-prep:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 10-system-packages->20-java-runtime:previous | 20-java-runtime->30-java-deps:previous | 30-java-deps->50-test-tooling:previous",true_non_adjacent
