source_dir,project_slug,owner_repo,ok,trajectory_classification,project_attempt_classification,event_count,runtime_jumps,run_dir
executionagent-runs-gpt4o,facebook-react-native,facebook/react-native,False,failed_in_project_run,failed_in_project_run,2,21-java-runtime[4/21]->10-system-packages[2/10] skip=20-node-runtime lines=12-13->14-24 | 21-java-runtime[4/21]->10-system-packages[2/10] skip=20-node-runtime lines=60-61->62-72,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native
executionagent-runs-gpt4o,msgpack-msgpack-c,msgpack/msgpack-c,False,failed_in_project_run,failed_in_project_run,1,20-native-build-config[3/20]->00-preflight[1/0] skip=10-system-packages lines=8-9->10-20,executionagent-runs-gpt4o/state/msgpack-msgpack-c/msgpack-c/runs/executionagent-gpt4o-msgpack-c
executionagent-runs-gpt4o,mybatis-mybatis-3,mybatis/mybatis-3,True,succeeded_after_internal_repair,one_project_attempt_success,1,20-java-runtime[3/20]->00-preflight[1/0] skip=01-java-deps lines=6-7->8-18,executionagent-runs-gpt4o/state/mybatis-mybatis-3/mybatis-3/runs/executionagent-gpt4o-mybatis-3
executionagent-runs-gpt4o,python-cpython,python/cpython,True,succeeded_after_internal_repair,one_project_attempt_success,1,30-project-dependencies[5/30]->10-system-packages[2/10] skip=20-python-runtime;20-runtime-toolchain lines=56-57->58-68,executionagent-runs-gpt4o/state/python-cpython/cpython/runs/executionagent-gpt4o-cpython
executionagent-runs-gpt4o,reactivex-rxjava,ReactiveX/RxJava,True,succeeded_after_internal_repair,one_project_attempt_success,1,20-java-runtime[3/20]->00-preflight[1/0] skip=01-java-deps lines=6-7->8-10,executionagent-runs-gpt4o/state/reactivex-rxjava/RxJava/runs/executionagent-gpt4o-rxjava
executionagent-runs-gpt4o,spring-projects-spring-security,spring-projects/spring-security,True,clean_one_shot_success,one_project_attempt_success,1,20-java-runtime[3/20]->00-preflight[1/0] skip=10-system-packages lines=6-7->8-10,executionagent-runs-gpt4o/state/spring-projects-spring-security/spring-security/runs/executionagent-gpt4o-spring-security
installamatic-runs,nonebot-nonebot2,nonebot/nonebot2,True,succeeded_after_internal_repair,one_project_attempt_success,1,50-test-tooling[7/50]->30-python-deps[5/30] skip=31-node-deps lines=21-22->23-33,installamatic-runs/state/nonebot-nonebot2/nonebot2/runs/installamatic-nonebot2
installamatic-runs,sciphi-ai-r2r,SciPhi-AI/R2R,False,failed_in_project_run,failed_in_project_run,1,50-test-tooling[5/50]->20-python-runtime[3/20] skip=30-project-dependencies lines=28-29->30-40,installamatic-runs/state/sciphi-ai-r2r/R2R/runs/installamatic-r2r
projects-repo2run,DTrOCR,,True,succeeded_after_internal_repair,one_project_attempt_success,2,50-test-tooling[4/50]->00-preflight[1/0] skip=20-python-runtime;30-python-deps lines=5-6->7-9 | 50-test-tooling[4/50]->20-python-runtime[2/20] skip=30-python-deps lines=10-10->11-14,projects-repo2run/DTrOCR/.pheragent/runs/repo2run-gpt-4o-20241120-dtrocr
projects-repo2run,Verbiverse,,True,succeeded_after_internal_repair,one_project_attempt_success,1,50-test-tooling[4/50]->20-python-runtime[2/20] skip=30-python-deps lines=12-13->14-24,projects-repo2run/Verbiverse/.pheragent/runs/repo2run-gpt-4o-20241120-verbiverse
projects-repo2run,VideoFusion,,True,succeeded_after_internal_repair,one_project_attempt_success,2,30-python-deps[5/30]->20-python-runtime[3/20] skip=21-node-runtime lines=15-16->17-35 | 50-test-tooling[7/50]->10-system-packages[2/10] skip=20-python-runtime;21-node-runtime;30-python-deps;31-node-deps lines=57-58->59-92,projects-repo2run/VideoFusion/.pheragent/runs/repo2run-gpt-4o-20241120-videofusion
projects-repo2run,cogvideox-factory,,True,succeeded_after_internal_repair,one_project_attempt_success,1,50-test-tooling[4/50]->00-preflight[1/0] skip=20-python-runtime;30-python-deps lines=4-4->5-7,projects-repo2run/cogvideox-factory/.pheragent/runs/repo2run-gpt-4o-20241120-cogvideox-factory
projects-repo2run,denser-retriever,,True,succeeded_after_internal_repair,one_project_attempt_success,1,50-test-tooling[7/50]->30-python-deps[5/30] skip=31-node-deps lines=21-22->23-33,projects-repo2run/denser-retriever/.pheragent/runs/repo2run-gpt-4o-20241120-denser-retriever
projects-repo2run,fastagency,,True,succeeded_after_internal_repair,one_project_attempt_success,1,50-test-tooling[7/50]->30-python-deps[5/30] skip=31-node-deps lines=21-22->23-33,projects-repo2run/fastagency/.pheragent/runs/repo2run-gpt-4o-20241120-fastagency
setupbench-runs-all-gpt-5.4-multiblock,apache-cassandra,apache/cassandra,True,succeeded_after_internal_repair,one_project_attempt_success,1,50-test-tooling[6/50]->30-project-dependencies[4/30] skip=40-native-build-config lines=52-53->54-62,setupbench-runs-all-gpt-5.4-multiblock/state/apache-cassandra/cassandra/runs/setupbench-cassandra
setupbench-runs-all-gpt-5.4-multiblock,habitat-sh-habitat,habitat-sh/habitat,True,succeeded_after_internal_repair,one_project_attempt_success,1,50-test-tooling[5/50]->10-system-packages[2/10] skip=20-rust-runtime;30-project-dependencies lines=15-16->17-21,setupbench-runs-all-gpt-5.4-multiblock/state/habitat-sh-habitat/habitat/runs/setupbench-habitat
