source_dir,project_slug,owner_repo,case_key,ok,trajectory_classification,project_attempt_classification,run_dir,executions_path,segment,classification,from_block,from_order,from_rank,from_lines,from_phase_sequence,from_failed_phases,from_repair_event_count,from_probe_event_count,from_checkpoint_before,from_hint,to_block,to_order,to_rank,to_lines,to_first_phase,to_phase_sequence,to_failed_phases,to_repair_event_count,to_probe_event_count,to_checkpoint_before,to_hint,skipped_blocks_by_runtime_rank,previous_final_graph_nonadj_for_run,previous_final_graph_nonadj_edges,event_count,block_count
executionagent-runs-gpt4o,reactivex-rxjava,ReactiveX/RxJava,ReactiveX/RxJava@6b28009fd08563eed648334d3d030acdd12818d3,True,succeeded_after_internal_repair,one_project_attempt_success,executionagent-runs-gpt4o/state/reactivex-rxjava/RxJava/runs/executionagent-gpt4o-rxjava,executionagent-runs-gpt4o/state/reactivex-rxjava/RxJava/runs/executionagent-gpt4o-rxjava/executions.jsonl,1,runtime_non_adjacent_backjump,20-java-runtime,20,3,6-7,block#1=0 | validation#1=127,validation#1=127,0,0,pheragent-executionagent-gpt4o:executionagent-gpt4o-rxjava-c51da9fa8d52-002-00-preflight-success,/tmp/pheragent/blocks/20-java-runtime.sh: 31: java: not found ERROR: JAVA_HOME is not set and no 'java' command could be found in your PATH. Please set the JAVA_HOME variable in your environment to match the location of your Java install...,00-preflight,0,1,8-10,llm_probe,llm_probe#1=1 | llm_probe#2=1 | llm_repair#2=1,llm_probe#1=1 | llm_probe#2=1 | llm_repair#2=1,1,2,pheragent-executionagent-gpt4o:executionagent-gpt4o-rxjava-067877599e8d-001-base-workspace,LLM probe request failed: Connection error.,01-java-deps,no,,11,5
executionagent-runs-gpt4o,msgpack-msgpack-c,msgpack/msgpack-c,msgpack/msgpack-c@b0d379a6f29af7dd65423ff78a94de8948f01bd8,False,failed_in_project_run,failed_in_project_run,executionagent-runs-gpt4o/state/msgpack-msgpack-c/msgpack-c/runs/executionagent-gpt4o-msgpack-c,executionagent-runs-gpt4o/state/msgpack-msgpack-c/msgpack-c/runs/executionagent-gpt4o-msgpack-c/executions.jsonl,1,runtime_non_adjacent_backjump,20-native-build-config,20,3,8-9,block#1=1 | validation#1=1,block#1=1 | validation#1=1,0,0,pheragent-executionagent-gpt4o:executionagent-gpt4o-msgpack-c-5618e7b5abdd-003-10-system-packages-success,"CMake Warning: Ignoring extra path from command line: ""."" CMake Error: The source directory ""/workspace/repo"" does not appear to contain CMakeLists.txt. Specify --help for usage, or press the help button on the CMake GUI.",00-preflight,0,1,10-20,llm_probe,llm_probe#1=0 | probe#1=0 | probe#1=0 | probe#1=0 | probe#1=0 | probe#1=0 | llm_repair#1=0 | repair#1=0 | block#2=0 | validation#2=0 | finalize#2=0,,2,6,pheragent-executionagent-gpt4o:executionagent-gpt4o-msgpack-c-718ee62d5bd8-001-base-workspace,"--- raw_llm_response --- { ""probes"": [ { ""title"": ""List files in the repo"", ""command"": ""ls -la /workspace/repo"" }, { ""title"": ""Check for CMakeLists.txt"", ""command"": ""find /workspace/repo -name CMakeLists.txt"" }, { ""title"": ""Check for Mak...",10-system-packages,no,,21,5
executionagent-runs-gpt4o,facebook-react-native,facebook/react-native,facebook/react-native@0fabe263ccfae250695a0e96fe4ae924da82b533,False,failed_in_project_run,failed_in_project_run,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native/executions.jsonl,1,runtime_non_adjacent_backjump,21-java-runtime,21,4,12-13,block#1=0 | validation#1=127,validation#1=127,0,0,pheragent-executionagent-gpt4o:executionagent-gpt4o-react-native-43dfa62e57ba-004-20-node-runtime-success,/tmp/pheragent/blocks/21-java-runtime.sh: 31: java: not found,10-system-packages,10,2,14-24,llm_probe,llm_probe#1=0 | probe#1=127 | probe#1=127 | probe#1=127 | probe#1=0 | probe#1=0 | llm_repair#1=0 | repair#1=0 | block#2=0 | validation#2=0 | finalize#2=0,probe#1=127 | probe#1=127 | probe#1=127,2,6,pheragent-executionagent-gpt4o:executionagent-gpt4o-react-native-72b53bb70f61-002-00-preflight-success,"--- raw_llm_response --- { ""probes"": [ { ""title"": ""Python and Pip Presence"", ""command"": ""command -v python3 >/dev/null 2>&1 && command -v pip3 >/dev/null 2>&1"" }, { ""title"": ""Node and NPM Presence"", ""command"": ""command -v node >/dev/null...",20-node-runtime,no,,25,7
executionagent-runs-gpt4o,facebook-react-native,facebook/react-native,facebook/react-native@0fabe263ccfae250695a0e96fe4ae924da82b533,False,failed_in_project_run,failed_in_project_run,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native/executions.jsonl,2,runtime_non_adjacent_backjump,21-java-runtime,21,4,60-61,block#1=0 | validation#1=127,validation#1=127,0,0,pheragent-executionagent-gpt4o:executionagent-gpt4o-react-native-19084b6fc483-004-20-node-runtime-success,/tmp/pheragent/blocks/21-java-runtime.sh: 31: java: not found,10-system-packages,10,2,62-72,llm_probe,llm_probe#1=0 | probe#1=0 | probe#1=0 | probe#1=0 | probe#1=0 | probe#1=0 | llm_repair#1=0 | repair#1=0 | block#2=0 | validation#2=0 | finalize#2=0,,2,6,pheragent-executionagent-gpt4o:executionagent-gpt4o-react-native-3d8c9fd9f08b-002-00-preflight-success,"--- raw_llm_response --- { ""probes"": [ { ""title"": ""Check for python"", ""command"": ""command -v python3 >/dev/null 2>&1 || true"" }, { ""title"": ""Check for pip"", ""command"": ""command -v pip >/dev/null 2>&1 || true"" }, { ""title"": ""Check for nod...",20-node-runtime,no,,73,7
executionagent-runs-gpt4o,spring-projects-spring-security,spring-projects/spring-security,spring-projects/spring-security@0d5f42f8529c1e56886e91616b6ca7d30f15c65e,True,clean_one_shot_success,one_project_attempt_success,executionagent-runs-gpt4o/state/spring-projects-spring-security/spring-security/runs/executionagent-gpt4o-spring-security,executionagent-runs-gpt4o/state/spring-projects-spring-security/spring-security/runs/executionagent-gpt4o-spring-security/executions.jsonl,1,runtime_non_adjacent_backjump,20-java-runtime,20,3,6-7,block#1=0 | validation#1=127,validation#1=127,0,0,pheragent-executionagent-gpt4o:executionagent-gpt4o-spring-security-c05772ebf9cd-002-00-preflight-success,/tmp/pheragent/blocks/20-java-runtime.sh: 31: java: not found ERROR: JAVA_HOME is not set and no 'java' command could be found in your PATH. Please set the JAVA_HOME variable in your environment to match the location of your Java install...,00-preflight,0,1,8-10,llm_probe,llm_probe#1=1 | llm_probe#2=1 | llm_repair#2=1,llm_probe#1=1 | llm_probe#2=1 | llm_repair#2=1,1,2,pheragent-executionagent-gpt4o:executionagent-gpt4o-spring-security-d18dc3408331-001-base-workspace,LLM probe request failed: Connection error.,10-system-packages,no,,11,5
executionagent-runs-gpt4o,mybatis-mybatis-3,mybatis/mybatis-3,mybatis/mybatis-3@58e2d5e9b0359116ebdc7ea2ea0a88d55545d4e2,True,succeeded_after_internal_repair,one_project_attempt_success,executionagent-runs-gpt4o/state/mybatis-mybatis-3/mybatis-3/runs/executionagent-gpt4o-mybatis-3,executionagent-runs-gpt4o/state/mybatis-mybatis-3/mybatis-3/runs/executionagent-gpt4o-mybatis-3/executions.jsonl,1,runtime_non_adjacent_backjump,20-java-runtime,20,3,6-7,block#1=0 | validation#1=127,validation#1=127,0,0,pheragent-executionagent-gpt4o:executionagent-gpt4o-mybatis-3-3ec1ce153bd7-002-00-preflight-success,/tmp/pheragent/blocks/20-java-runtime.sh: 31: java: not found /tmp/pheragent/blocks/20-java-runtime.sh: 32: mvn: not found,00-preflight,0,1,8-18,llm_probe,llm_probe#1=0 | probe#1=127 | probe#1=127 | probe#1=0 | probe#1=0 | probe#1=0 | llm_repair#1=0 | repair#1=0 | block#2=0 | validation#2=0 | finalize#2=0,probe#1=127 | probe#1=127,2,6,pheragent-executionagent-gpt4o:executionagent-gpt4o-mybatis-3-963c9f12fc65-001-base-workspace,"--- raw_llm_response --- { ""probes"": [ { ""title"": ""Check for Java installation"", ""command"": ""command -v java"" }, { ""title"": ""Check for Maven installation"", ""command"": ""command -v mvn"" }, { ""title"": ""List contents of the repository"", ""com...",01-java-deps,no,,19,5
executionagent-runs-gpt4o,python-cpython,python/cpython,python/cpython@1eddef81930ad9f7e2f411f153c35af16a6edf14,True,succeeded_after_internal_repair,one_project_attempt_success,executionagent-runs-gpt4o/state/python-cpython/cpython/runs/executionagent-gpt4o-cpython,executionagent-runs-gpt4o/state/python-cpython/cpython/runs/executionagent-gpt4o-cpython/executions.jsonl,2,runtime_non_adjacent_backjump,30-project-dependencies,30,5,56-57,block#1=1 | validation#1=1,block#1=1 | validation#1=1,0,0,pheragent-executionagent-gpt4o:executionagent-gpt4o-cpython-94626bc0f5ec-004-20-runtime-toolchain-success,"error: externally-managed-environment × This environment is externally managed ╰─> To install Python packages system-wide, try apt install python3-xyz, where xyz is the package you are trying to install. If you wish to install a non-Debi...",10-system-packages,10,2,58-68,llm_probe,llm_probe#1=0 | probe#1=127 | probe#1=127 | probe#1=127 | probe#1=1 | probe#1=0 | llm_repair#1=0 | repair#1=0 | block#2=0 | validation#2=0 | finalize#2=0,probe#1=127 | probe#1=127 | probe#1=127 | probe#1=1,2,6,pheragent-executionagent-gpt4o:executionagent-gpt4o-cpython-69f8e79d2a8d-002-00-preflight-success,"--- raw_llm_response --- { ""probes"": [ { ""title"": ""Check Python 3 Installation"", ""command"": ""command -v python3"" }, { ""title"": ""Check CMake Installation"", ""command"": ""command -v cmake"" }, { ""title"": ""Check pip Installation"", ""command"": ""...",20-python-runtime;20-runtime-toolchain,no,,69,5
installamatic-runs,nonebot-nonebot2,nonebot/nonebot2,nonebot/nonebot2@be4f360,True,succeeded_after_internal_repair,one_project_attempt_success,installamatic-runs/state/nonebot-nonebot2/nonebot2/runs/installamatic-nonebot2,installamatic-runs/state/nonebot-nonebot2/nonebot2/runs/installamatic-nonebot2/executions.jsonl,1,runtime_non_adjacent_backjump,50-test-tooling,50,7,21-22,block#1=0 | validation#1=4,validation#1=4,0,0,pheragent-installamatic:installamatic-nonebot2-0942c8ec60cb-007-31-node-deps-success,[pheragent] preparing python test tooling [pheragent] preparing node test tooling v18.19.1 9.2.0,30-python-deps,30,5,23-33,llm_probe,llm_probe#1=0 | probe#1=0 | probe#1=1 | probe#1=0 | probe#1=0 | probe#1=0 | llm_repair#1=0 | repair#1=0 | block#2=0 | validation#2=0 | finalize#2=0,probe#1=1,2,6,pheragent-installamatic:installamatic-nonebot2-e473921e5767-005-21-node-runtime-success,"--- raw_llm_response --- { ""probes"": [ { ""title"": ""Check installed Python packages"", ""command"": "".venv/bin/python -m pip list"" }, { ""title"": ""Check specific Python import"", ""command"": "".venv/bin/python -c 'import nonebug'"" }, { ""title"": ...",31-node-deps,no,,34,7
installamatic-runs,sciphi-ai-r2r,SciPhi-AI/R2R,SciPhi-AI/R2R@712defb,False,failed_in_project_run,failed_in_project_run,installamatic-runs/state/sciphi-ai-r2r/R2R/runs/installamatic-r2r,installamatic-runs/state/sciphi-ai-r2r/R2R/runs/installamatic-r2r/executions.jsonl,1,runtime_non_adjacent_backjump,50-test-tooling,50,5,28-29,block#1=0 | validation#1=127,validation#1=127,0,0,pheragent-installamatic:installamatic-r2r-10977b2328c5-006-30-project-dependencies-success,/tmp/pheragent/blocks/50-test-tooling.sh: 31: pytest: not found,20-python-runtime,20,3,30-40,llm_probe,llm_probe#1=0 | probe#1=0 | probe#1=2 | probe#1=0 | probe#1=0 | probe#1=0 | llm_repair#1=0 | repair#1=0 | block#2=0 | validation#2=0 | finalize#2=0,probe#1=2,2,6,pheragent-installamatic:installamatic-r2r-316da1e37621-004-10-system-packages-repaired,"--- raw_llm_response --- { ""probes"": [ { ""title"": ""Check Python version"", ""command"": ""command -v python3"" }, { ""title"": ""List virtual environment directory"", ""command"": ""ls -l .venv"" }, { ""title"": ""Check if pip is installed"", ""command"": ...",30-project-dependencies,no,,41,5
setupbench-runs-all-gpt-5.4-multiblock,habitat-sh-habitat,habitat-sh/habitat,habitat-sh/habitat@5826ff8e54da8985c2aa66b894aa962c4cd5d09b,True,succeeded_after_internal_repair,one_project_attempt_success,setupbench-runs-all-gpt-5.4-multiblock/state/habitat-sh-habitat/habitat/runs/setupbench-habitat,setupbench-runs-all-gpt-5.4-multiblock/state/habitat-sh-habitat/habitat/runs/setupbench-habitat/executions.jsonl,1,runtime_non_adjacent_backjump,50-test-tooling,50,5,15-16,block#1=101 | validation#1=127,block#1=101 | validation#1=127,0,0,pheragent-setupbench:setupbench-habitat-577176cc34d4-005-30-project-dependencies-success,Compiling proc-macro2 v1.0.93 Compiling unicode-ident v1.0.16 Compiling libc v0.2.171 Compiling cfg-if v1.0.0 Compiling serde v1.0.218 Compiling memchr v2.7.4 Compiling shlex v1.3.0 Compiling autocfg v1.4.0 Compiling hashbrown v0.15.2 Co...,10-system-packages,10,2,17-21,llm_repair,llm_repair#1=0 | repair#1=0 | block#2=0 | validation#2=0 | finalize#2=0,,2,0,pheragent-setupbench:setupbench-habitat-b139753dcc27-002-00-preflight-success,"--- raw_llm_response --- {""repairs"":[{""title"":""Install protobuf compiler for Rust prost builds"",""command"":""export DEBIAN_FRONTEND=noninteractive && apt-get update && apt-get install -y --no-install-recommends protobuf-compiler && command...",20-rust-runtime;30-project-dependencies,no,,22,6
